,id_x,RA_x,DEC_x,pos_err,DET_ML_F,rate_F,rate_F_err,flux_F,flux_F_err,snr_F,exptime_F,cts_ap_F,cts_ap_F_err,DET_ML_S,rate_S,rate_S_err,flux_S,flux_S_err,snr_S,exptime_S,cts_ap_S,cts_ap_S_err,DET_ML_H,rate_H,rate_H_err,flux_H,flux_H_err,snr_H,exptime_H,cts_ap_H,cts_ap_H_err,HR,HR_lo_lim,HR_up_lim,ra,dec,gfits,rfits,ifits,zfits,yfits
84,b'lid_1991 ',150.147919755,2.69045044493,0.919,15.13,0.000121000005,3.37e-05,2.0699998999999997e-15,5.7600003e-16,3.58,166.39,20.23,6.18,19.41,8.1700004e-05,2.49e-05,6.05e-16,1.84e-16,3.28,164.32,13.62,5.16,-99.9,9.63e-05,-99.9,2.95e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.42,-0.68,-0.08,150.147919755,2.6904504449299997,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.147919755/cutout-HSC-G-9813-pdr2_dud-200225-090157.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.147919755/cutout-HSC-R-9813-pdr2_dud-200225-090204.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.147919755/cutout-HSC-I-9813-pdr2_dud-200225-090212.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.147919755/cutout-HSC-Y-9813-pdr2_dud-200225-090227.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.147919755/cutout-HSC-Z-9813-pdr2_dud-200225-090220.fits
85,b'lid_2001 ',150.033082847,2.58545037542,0.253,14.83,0.000146,4.24e-05,2.5e-15,7.25e-16,3.45,160.69,28.85,7.29,10.0,0.000111,3.69e-05,8.210000000000001e-16,2.73e-16,3.02,150.92,19.24,6.04,-99.9,0.000113999995,-99.9,3.49e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.55,-0.78,-0.26,150.033082847,2.58545037542,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.033082847/cutout-HSC-G-9813-pdr2_dud-200225-090310.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.033082847/cutout-HSC-R-9813-pdr2_dud-200225-090317.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.033082847/cutout-HSC-I-9813-pdr2_dud-200225-090326.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.033082847/cutout-HSC-Y-9813-pdr2_dud-200225-090342.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.033082847/cutout-HSC-Z-9813-pdr2_dud-200225-090335.fits
86,b'lid_2514 ',150.10134093899998,1.74652056442,0.607,12.6,0.000109,3.3199998e-05,1.8600000000000002e-15,5.679999700000002e-16,3.29,181.14,17.29,5.75,13.36,7.48e-05,2.48e-05,5.54e-16,1.84e-16,3.01,177.88,11.26,4.74,-99.9,0.00010499999,-99.9,3.2100001e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.12,-0.39,0.22,150.10134093899998,1.74652056442,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.10134093899998/cutout-HSC-G-9813-pdr2_dud-200225-090436.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.10134093899998/cutout-HSC-R-9813-pdr2_dud-200225-090444.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.10134093899998/cutout-HSC-I-9813-pdr2_dud-200225-090454.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.10134093899998/cutout-HSC-Y-9813-pdr2_dud-200225-090512.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.10134093899998/cutout-HSC-Z-9813-pdr2_dud-200225-090503.fits
87,b'lid_2790 ',150.496816511,2.0053527949000003,0.691,12.96,9.39e-05,3.34e-05,1.6100000000000001e-15,5.71e-16,2.81,168.05,12.94,5.04,10.41,7.4e-05,2.9e-05,5.48e-16,2.15e-16,2.55,160.35,8.66,4.23,-99.9,9.3500006e-05,-99.9,2.8600000000000003e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.49,-0.72,-0.24,150.496816511,2.0053527949000003,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.496816511/cutout-HSC-G-9813-pdr2_dud-200225-191133.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.496816511/cutout-HSC-R-9813-pdr2_dud-200225-191143.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.496816511/cutout-HSC-I-9813-pdr2_dud-200225-191151.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.496816511/cutout-HSC-Y-9813-pdr2_dud-200225-191210.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.496816511/cutout-HSC-Z-9813-pdr2_dud-200225-191200.fits
88,b'lid_2792 ',150.541517906,2.06299474243,0.611,26.04,0.000296,5.98e-05,5.06e-15,1.0199999e-15,4.95,149.0,41.58,8.66,12.38,0.00013300001,4.4200002e-05,9.84e-16,3.27e-16,3.0,138.25,17.24,5.74,-99.9,0.000152,-99.9,4.65e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.11,-0.48,0.36,150.541517906,2.06299474243,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.541517906/cutout-HSC-G-9813-pdr2_dud-200225-191244.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.541517906/cutout-HSC-R-9813-pdr2_dud-200225-191252.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.541517906/cutout-HSC-I-9813-pdr2_dud-200225-191302.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.541517906/cutout-HSC-Y-9813-pdr2_dud-200225-191319.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.541517906/cutout-HSC-Z-9813-pdr2_dud-200225-191310.fits
89,b'lid_2795 ',150.58658014,2.18381873383,0.166,16.99,0.00014099999999999998,3.63e-05,2.4100002e-15,6.21e-16,3.87,159.61,18.77,5.97,12.84,8.65e-05,2.7399999999999995e-05,6.4e-16,2.03e-16,3.16,151.65,11.29,4.75,-99.9,0.000113999995,-99.9,3.49e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.37,-0.67,0.03,150.58658014,2.18381873383,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.58658014/cutout-HSC-G-9813-pdr2_dud-200225-191405.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.58658014/cutout-HSC-R-9813-pdr2_dud-200225-191413.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.58658014/cutout-HSC-I-9813-pdr2_dud-200225-191423.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.58658014/cutout-HSC-Y-9813-pdr2_dud-200225-191442.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.58658014/cutout-HSC-Z-9813-pdr2_dud-200225-191432.fits
90,b'lid_2964 ',150.306417639,2.44737214885,0.8270000000000001,8.23,0.000132,4.380000200000001e-05,2.26e-15,7.49e-16,3.02,169.3,16.74,5.67,-99.9,1.5900001e-05,-99.9,1.18e-16,-99.9,0.0,-99.0,-99.0,-99.0,12.15,0.000145,4.35e-05,4.4399999999999996e-15,1.3300000000000001e-15,3.34,176.28,19.23,6.04,-99.0,0.68,-99.0,150.306417639,2.44737214885,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.306417639/cutout-HSC-G-9813-pdr2_dud-200225-191612.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.306417639/cutout-HSC-R-9813-pdr2_dud-200225-191621.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.306417639/cutout-HSC-I-9813-pdr2_dud-200225-191631.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.306417639/cutout-HSC-Y-9813-pdr2_dud-200225-191651.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.306417639/cutout-HSC-Z-9813-pdr2_dud-200225-191643.fits
92,b'lid_3027 ',150.38987345299998,2.6236964845,1.114,12.81,0.00011,3.4e-05,1.88e-15,5.81e-16,3.23,162.16,17.08,5.72,-99.9,7.56e-05,-99.9,5.5900003e-16,-99.9,0.0,-99.0,-99.0,-99.0,7.64,7.829999999999999e-05,3.0199999e-05,2.4e-15,9.24e-16,2.59,155.28,12.11,4.9,0.4,0.17,0.69,150.38987345299998,2.6236964845,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.38987345299998/cutout-HSC-G-9813-pdr2_dud-200225-191920.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.38987345299998/cutout-HSC-R-9813-pdr2_dud-200225-191928.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.38987345299998/cutout-HSC-I-9813-pdr2_dud-200225-191937.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.38987345299998/cutout-HSC-Y-9813-pdr2_dud-200225-191954.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.38987345299998/cutout-HSC-Z-9813-pdr2_dud-200225-191946.fits
93,b'lid_3031 ',150.461251573,2.49354141531,0.591,16.02,9.0600006e-05,3.01e-05,1.55e-15,5.15e-16,3.01,166.77,14.25,5.27,-99.9,5.11e-05,-99.9,3.78e-16,-99.9,0.0,-99.0,-99.0,-99.0,15.19,6.9099995e-05,2.5399999e-05,2.11e-15,7.77e-16,2.72,165.61,10.76,4.65,0.31,0.17,0.85,150.461251573,2.4935414153099997,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.461251573/cutout-HSC-G-9813-pdr2_dud-200225-192029.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.461251573/cutout-HSC-R-9813-pdr2_dud-200225-192037.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.461251573/cutout-HSC-I-9813-pdr2_dud-200225-192045.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.461251573/cutout-HSC-Y-9813-pdr2_dud-200225-192101.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.461251573/cutout-HSC-Z-9813-pdr2_dud-200225-192053.fits
94,b'lid_3427 ',149.669068324,2.1393012698,0.46,11.92,0.000116999996,3.64e-05,2e-15,6.2199996e-16,3.23,161.98,15.75,5.51,-99.9,0.00011,-99.9,8.1400004e-16,-99.9,0.0,-99.0,-99.0,-99.0,7.52,6.579999999999999e-05,2.7399999999999995e-05,2.0100000000000003e-15,8.380000299999999e-16,2.41,172.3,10.48,4.59,-99.0,0.29,-99.0,149.669068324,2.1393012698,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.669068324/cutout-HSC-G-9813-pdr2_dud-200225-192139.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.669068324/cutout-HSC-R-9813-pdr2_dud-200225-192147.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.669068324/cutout-HSC-I-9813-pdr2_dud-200225-192156.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.669068324/cutout-HSC-Y-9813-pdr2_dud-200225-192214.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.669068324/cutout-HSC-Z-9813-pdr2_dud-200225-192205.fits
95,b'lid_3503 ',149.921281688,1.7909123794599997,0.444,29.44,0.000113,2.79e-05,1.9300000000000002e-15,4.77e-16,4.05,182.5,19.58,6.09,-99.9,5.44e-05,-99.9,4.03e-16,-99.9,0.0,-99.0,-99.0,-99.0,25.62,8.859999999999999e-05,2.3900002e-05,2.7100000000000006e-15,7.3099997000000015e-16,3.72,182.17,15.34,5.44,-99.0,-99.0,-0.15,149.921281688,1.7909123794599997,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.921281688/cutout-HSC-G-9813-pdr2_dud-200225-192251.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.921281688/cutout-HSC-R-9813-pdr2_dud-200225-192258.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.921281688/cutout-HSC-I-9813-pdr2_dud-200225-192307.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.921281688/cutout-HSC-Y-9813-pdr2_dud-200225-192323.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.921281688/cutout-HSC-Z-9813-pdr2_dud-200225-192315.fits
96,b'lid_3770 ',150.439212948,1.9718354139900005,0.632,23.81,0.00023499998,4.8600003e-05,4.020000000000001e-15,8.3100004e-16,4.83,175.03,38.98,8.39,-99.9,0.00012699999,-99.9,9.4e-16,-99.9,0.0,-99.0,-99.0,-99.0,22.5,0.000195,4.36e-05,5.9699996e-15,1.3300000000000001e-15,4.47,176.25,36.27,8.11,0.53,0.34,0.76,150.439212948,1.9718354139900005,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.439212948/cutout-HSC-G-9813-pdr2_dud-200225-192406.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.439212948/cutout-HSC-R-9813-pdr2_dud-200225-192414.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.439212948/cutout-HSC-I-9813-pdr2_dud-200225-192421.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.439212948/cutout-HSC-Y-9813-pdr2_dud-200225-192438.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.439212948/cutout-HSC-Z-9813-pdr2_dud-200225-192430.fits
97,b'lid_4036 ',150.42926409999995,2.55642105152,0.611,14.41,0.00020499999,4.63e-05,3.5100000000000002e-15,7.92e-16,4.44,192.45,37.42,8.23,-99.9,3.94e-05,-99.9,2.92e-16,-99.9,0.0,-99.0,-99.0,-99.0,-99.9,0.000162,-99.9,4.96e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,0.86,-99.0,150.42926409999995,2.55642105152,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.42926409999995/cutout-HSC-G-9813-pdr2_dud-200225-192544.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.42926409999995/cutout-HSC-R-9813-pdr2_dud-200225-192552.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.42926409999995/cutout-HSC-I-9813-pdr2_dud-200225-192601.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.42926409999995/cutout-HSC-Y-9813-pdr2_dud-200225-192617.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.42926409999995/cutout-HSC-Z-9813-pdr2_dud-200225-192609.fits
98,b'lid_4039 ',150.452920881,2.55174771594,0.328,11.8,0.00015800001,4.44e-05,2.7e-15,7.59e-16,3.55,171.78,27.74,7.15,-99.9,0.00016,-99.9,1.1799999e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.9,0.00014099999999999998,-99.9,4.31e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.28,-0.53,0.1,150.452920881,2.55174771594,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.452920881/cutout-HSC-G-9813-pdr2_dud-200225-192652.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.452920881/cutout-HSC-R-9813-pdr2_dud-200225-192659.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.452920881/cutout-HSC-I-9813-pdr2_dud-200225-192707.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.452920881/cutout-HSC-Y-9813-pdr2_dud-200225-192723.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.452920881/cutout-HSC-Z-9813-pdr2_dud-200225-192715.fits
100,b'lid_4431 ',149.86322387200002,2.55094370102,0.611,12.16,0.00013000000000000002,3.86e-05,2.2199999999999998e-15,6.599999700000002e-16,3.38,226.27,21.21,6.31,-99.9,6.8e-05,-99.9,5.030000299999999e-16,-99.9,0.0,-99.0,-99.0,-99.0,-99.9,0.000124,-99.9,3.79e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,0.41,-99.0,149.86322387200002,2.55094370102,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.86322387200002/cutout-HSC-G-9813-pdr2_dud-200225-192949.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.86322387200002/cutout-HSC-R-9813-pdr2_dud-200225-192959.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.86322387200002/cutout-HSC-I-9813-pdr2_dud-200225-193014.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.86322387200002/cutout-HSC-Y-9813-pdr2_dud-200225-193031.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.86322387200002/cutout-HSC-Z-9813-pdr2_dud-200225-193022.fits
101,b'lid_4563 ',150.06928848799998,1.77998668648,1.453,11.96,0.000101,3.03e-05,1.7300000000000001e-15,5.179999999999998e-16,3.33,171.61,13.68,5.17,-99.9,9.26e-05,-99.9,6.85e-16,-99.9,0.0,-99.0,-99.0,-99.0,-99.9,9.1e-05,-99.9,2.7800000000000002e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.71,150.06928848799998,1.77998668648,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.06928848799998/cutout-HSC-G-9813-pdr2_dud-200225-193107.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.06928848799998/cutout-HSC-R-9813-pdr2_dud-200225-193115.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.06928848799998/cutout-HSC-I-9813-pdr2_dud-200225-193123.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.06928848799998/cutout-HSC-Y-9813-pdr2_dud-200225-193138.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.06928848799998/cutout-HSC-Z-9813-pdr2_dud-200225-193130.fits
102,b'lid_4601 ',150.034276979,1.7208974305400002,0.359,12.1,0.000128,3.47e-05,2.1899999999999997e-15,5.93e-16,3.69,180.51,22.9,6.54,-99.9,0.000112,-99.9,8.29e-16,-99.9,0.0,-99.0,-99.0,-99.0,-99.9,0.00013500001,-99.9,4.13e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.8,150.034276979,1.7208974305400002,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.034276979/cutout-HSC-G-9813-pdr2_dud-200225-193215.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.034276979/cutout-HSC-R-9813-pdr2_dud-200225-193223.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.034276979/cutout-HSC-I-9813-pdr2_dud-200225-193232.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.034276979/cutout-HSC-Y-9813-pdr2_dud-200225-193248.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.034276979/cutout-HSC-Z-9813-pdr2_dud-200225-193240.fits
103,b'lid_4627 ',149.982753011,1.83821201503,0.407,11.84,0.000129,3.68e-05,2.21e-15,6.29e-16,3.49,201.24,20.02,6.15,-99.9,7.26e-05,-99.9,5.37e-16,-99.9,0.0,-99.0,-99.0,-99.0,-99.9,0.000115999996,-99.9,3.55e-15,-99.9,0.0,-99.0,-99.0,-99.0,0.04,-0.31,0.67,149.982753011,1.8382120150299999,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.982753011/cutout-HSC-G-9813-pdr2_dud-200225-193321.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.982753011/cutout-HSC-R-9813-pdr2_dud-200225-193328.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.982753011/cutout-HSC-I-9813-pdr2_dud-200225-193336.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.982753011/cutout-HSC-Y-9813-pdr2_dud-200225-193352.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.982753011/cutout-HSC-Z-9813-pdr2_dud-200225-193344.fits
105,b'lid_6131 ',149.904409842,1.86897826734,0.611,-99.9,0.00017,-99.9,2.9100001000000007e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.9,8.7299995e-05,-99.9,6.46e-16,-99.9,0.0,-99.0,-99.0,-99.0,14.73,0.00014199999,3.86e-05,4.35e-15,1.1799999e-15,3.67,213.27,23.55,6.63,-99.0,-99.0,-0.22,149.904409842,1.8689782673400002,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.904409842/cutout-HSC-G-9813-pdr2_dud-200225-193539.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.904409842/cutout-HSC-R-9813-pdr2_dud-200225-193547.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.904409842/cutout-HSC-I-9813-pdr2_dud-200225-193555.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.904409842/cutout-HSC-Y-9813-pdr2_dud-200225-193612.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.904409842/cutout-HSC-Z-9813-pdr2_dud-200225-193604.fits
