,id_x,RA_x,DEC_x,pos_err,DET_ML_F,rate_F,rate_F_err,flux_F,flux_F_err,snr_F,exptime_F,cts_ap_F,cts_ap_F_err,DET_ML_S,rate_S,rate_S_err,flux_S,flux_S_err,snr_S,exptime_S,cts_ap_S,cts_ap_S_err,DET_ML_H,rate_H,rate_H_err,flux_H,flux_H_err,snr_H,exptime_H,cts_ap_H,cts_ap_H_err,HR,HR_lo_lim,HR_up_lim,ra,dec,GRI/IZY,Visible,Invisible,Saturated,"Visible, Near Saturated Object","Not Visible, Near Saturated Object","Visible, but near an object","Not Visible, but near an object",Unclear
1015,b'cid_3439 ',149.881111071,1.88505569099,0.218,17.72,0.00016699999,5.43e-05,2.77e-15,9e-16,3.07,152.98,13.04,5.06,-99.9,7.71e-05,-99.9,5.4e-16,-99.9,0.0,-99.0,-99.0,-99.0,-99.9,0.000153,-99.9,4.67e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.53,149.881111071,1.88505569099,B,Y,,,,,,,
1017,b'cid_3440 ',149.8893899768,1.9660288897,0.885,14.48,5.9899998e-05,3.22e-05,9.4e-16,5.06e-16,1.86,163.11,9.78,4.45,22.41,6.52e-05,2.3800001e-05,4.13e-16,1.51e-16,2.74,162.32,10.49,4.59,-99.0,3.29e-05,-99.0,1e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.81,149.8893899768,1.9660288897,B,,Y,,,,,,
1021,b'cid_3449 ',149.9107299726,1.899629209,0.431,17.57,6.79e-05,3.82e-05,1.0700001e-15,6e-16,1.78,157.87,11.27,4.74,11.04,3.78e-05,2.2799999e-05,2.4e-16,1.4500001e-16,1.66,153.69,6.14,3.65,-99.0,0.000131,-99.0,3.98e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.45,149.9107299726,1.899629209,B,,Y,,,,,Y,
1025,b'cid_3455 ',149.924705867,1.84393741916,0.441,21.31,0.000111,2.79e-05,1.82e-15,4.58e-16,3.98,176.24,13.45,5.13,23.94,9.01e-05,2.55e-05,6.1900003e-16,1.75e-16,3.53,169.92,9.9,4.48,-99.9,7.95e-05,-99.9,2.43e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.4,149.924705867,1.8439374191599998,B,,Y,,,,,,
1026,b'cid_3456 ',149.927340694,1.8497802923,0.399,7.08,4.9899998e-05,2.57e-05,8.1800005e-16,4.21e-16,1.94,188.99,12.0,4.88,11.86,5.27e-05,2.1099999e-05,3.62e-16,1.4500001e-16,2.5,183.07,9.66,4.43,-99.9,6.39e-05,-99.9,1.95e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.71,149.927340694,1.8497802923,B,,Y,,,,,Y,
1028,b'cid_3468 ',149.976662995,1.84799587545,0.428,10.89,0.000154,4.9000002e-05,2.5499999e-15,8.12e-16,3.14,181.04,19.66,6.1,12.39,9.5e-05,3.44e-05,6.64e-16,2.41e-16,2.76,172.76,11.94,4.87,-99.9,0.000116999996,-99.9,3.57e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.46,149.976662995,1.8479958754499999,B,,Y,,,,,Y,
1039,b'cid_3517 ',149.8036150098,2.0151600078,1.78,30.81,0.000224,5.43e-05,3.52e-15,8.53e-16,4.13,157.71,37.1,8.2,-99.0,0.000248,-99.0,1.57e-15,-99.0,0.0,-99.0,-99.0,-99.0,30.67,0.00013300001,4.75e-05,4.04e-15,1.4400001e-15,2.78,163.69,22.92,6.55,0.22,-0.09,0.63,149.80361500979998,2.0151600078,B,,Y,,,Y,,,
1041,b'cid_3529 ',149.82988,1.9907,0.906,20.64,0.000169,3.93e-05,2.6500002e-15,6.1700003e-16,4.31,166.13,27.78,7.16,11.44,7.26e-05,2.4e-05,4.6e-16,1.52e-16,3.02,165.75,11.78,4.84,-99.0,0.00051,-99.0,1.55e-14,-99.0,0.0,-99.0,-99.0,-99.0,-0.09,-0.31,0.18,149.82988,1.9907,B,,Y,,,,,,
1064,b'cid_358  ',150.1051699645,1.9812317096,0.1,30115.68,0.035,0.00045100003,5.5e-13,7.08e-15,77.47,159.84,5439.34,94.89,11691.97,0.0256,0.00038800001,1.62e-13,2.46e-15,66.04,158.39,3917.1,80.58,6332.22,0.00947,0.000233,2.88e-13,7.08e-15,40.75,160.74,1522.32,50.36,-0.44,-0.46,-0.42,150.10516996450002,1.9812317096,B,Y,,,,,,,
1069,b'cid_3603 ',149.766569399,1.90665548408,0.164,12.04,0.000159,4.32e-05,2.67e-15,7.2600004e-16,3.67,160.16,19.79,6.12,9.87,9.32e-05,2.96e-05,6.69e-16,2.1300001e-16,3.15,151.98,9.68,4.43,-99.9,0.00017,-99.9,5.1999996e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.17,-0.5,0.38,149.766569399,1.9066554840799999,B,,Y,,,,,Y,
1082,b'cid_3641 ',150.1383999941,2.4666865024,0.372,20.89,0.000102,4.3000004e-05,1.6e-15,6.75e-16,2.36,124.71,15.06,5.4,8.65,2.6099999e-05,2.31e-05,1.6499999e-16,1.46e-16,1.13,124.88,3.8,3.01,10.46,7.52e-05,3.92e-05,2.29e-15,1.1900001e-15,1.91,127.81,11.54,4.79,0.19,-0.22,0.62,150.13839999409998,2.4666865024,B,,Y,,,,,Y,Y
1087,b'cid_3650 ',150.168185117,2.61569175329,0.412,322.59,0.0010800001,9.32e-05,1.77e-14,1.53e-15,11.61,143.43,153.34,16.24,386.56,0.00099,8.5e-05,6.82e-15,5.8499997e-16,11.64,136.76,131.16,15.05,20.76,0.000164,3.96e-05,5e-15,1.21e-15,4.14,151.81,21.21,6.31,-0.75,-0.84,-0.68,150.168185117,2.61569175329,B,Y,,Y,,,,,
1091,b'cid_3664 ',150.230330102,2.55847572343,0.615,89.33,0.000358,4.62e-05,5.86e-15,7.56e-16,7.75,149.72,53.14,9.73,125.61,0.000349,4.07e-05,2.39e-15,2.79e-16,8.58,149.57,48.89,9.35,-99.9,7.24e-05,-99.9,2.21e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.88,150.230330102,2.55847572343,B,Y,,Y,,,,,
1093,b'cid_367  ',150.2393699843,1.9302348956,0.115,427.05,0.0011100001,8.7700006e-05,1.74e-14,1.38e-15,12.71,164.45,174.78,17.31,587.7,0.0010800001,8.1700004e-05,6.85e-15,5.18e-16,13.18,163.94,167.03,16.93,-99.0,0.000195,-99.0,5.9299997e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.97,150.2393699843,1.9302348956,B,Y,,Y,,,,,
1094,b'cid_3673 ',150.0798900132,2.3900454218,1.639,16.82,0.000193,3.97e-05,3.03e-15,6.23e-16,4.86,208.96,43.17,8.81,-99.0,0.00021900001,-99.0,1.39e-15,-99.0,0.0,-99.0,-99.0,-99.0,10.6,0.000153,3.56e-05,4.65e-15,1.08e-15,4.31,219.01,34.89,7.97,0.27,0.04,0.54,150.07989001319999,2.3900454218,B,,Y,,,,,Y,
1096,b'cid_3683 ',150.1536299969,2.3994510151,1.22,7.45,5.8499998e-05,3.1400003e-05,9.18e-16,4.9299996e-16,1.87,161.89,9.38,4.37,18.13,6.21e-05,2.3499999e-05,3.94e-16,1.49e-16,2.64,162.7,9.8,4.46,-99.0,7.91e-05,-99.0,2.4e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.84,150.1536299969,2.3994510151,B,Y,,Y,,,,,
1101,b'cid_3710 ',150.2320899886,2.3954386667,0.6,7.83,0.000139,3.57e-05,2.18e-15,5.6e-16,3.91,231.36,29.12,7.32,36.44,4.39e-05,2e-05,2.78e-16,1.27e-16,2.19,226.19,8.97,4.29,7.83,9.1999995e-05,2.9100001e-05,2.8e-15,8.8500003e-16,3.15,238.9,20.13,6.16,0.11,-0.2,0.42,150.2320899886,2.3954386667,B,Y,,,,,Y,,
1102,b'cid_3714 ',150.2399599753,2.3532962799,0.349,11.91,9.88e-05,4.3000004e-05,1.55e-15,6.75e-16,2.29,177.96,16.01,5.55,-99.0,7.07e-05,-99.0,4.48e-16,-99.0,0.0,-99.0,-99.0,-99.0,15.59,0.000103,3.93e-05,3.1300002e-15,1.1900001e-15,2.61,181.51,17.26,5.74,0.7,0.59,0.92,150.2399599753,2.3532962799,B,Y,,,,,,,
1104,b'cid_3718 ',150.2530099943,2.2779254668,0.715,37.81,0.000222,4.1e-05,3.49e-15,6.44e-16,5.41,160.59,36.69,8.16,49.23,0.00017300001,3.31e-05,1.1e-15,2.1e-16,5.24,163.48,28.34,7.23,-99.0,0.00028,-99.0,8.51e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.98,150.25300999430002,2.2779254668,B,,Y,,,,,Y,Y
1107,b'cid_3734 ',150.3253099961,2.3739700083,1.767,12.11,0.000121000005,3.75e-05,1.9e-15,5.89e-16,3.22,174.1,19.82,6.12,-99.0,0.000155,-99.0,9.829999e-16,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.00028900002,-99.0,8.79e-15,-99.0,0.0,-99.0,-99.0,-99.0,0.12,-0.16,0.5,150.3253099961,2.3739700083,B,,Y,,,,,Y,
1108,b'cid_374  ',150.2809199976,1.9546865135,0.92,36.12,0.00020699999,3.81e-05,3.25e-15,5.98e-16,5.44,158.59,33.5,7.82,45.12,0.000145,3e-05,9.189999e-16,1.9e-16,4.82,162.33,23.17,6.58,8.01,7.05e-05,2.53e-05,2.1400002e-15,7.69e-16,2.79,161.32,11.68,4.82,-0.42,-0.72,-0.09,150.2809199976,1.9546865135,B,,Y,,,,,Y,
1113,b'cid_3777 ',150.3187299981,2.2476906851,0.774,26.72,0.000177,3.61e-05,2.78e-15,5.67e-16,4.92,212.78,40.61,8.56,23.17,0.000138,2.72e-05,8.75e-16,1.72e-16,5.07,208.28,30.9,7.52,17.76,0.000121000005,3e-05,3.68e-15,9.12e-16,4.04,218.23,28.84,7.28,-0.13,-0.33,0.11,150.3187299981,2.2476906851,B,,Y,,,,,,
1115,b'cid_3782 ',150.3260899774,2.0982655934,0.807,7.5,7.02e-05,3.04e-05,1.1e-15,4.77e-16,2.3,158.53,10.98,4.69,13.61,6.57e-05,2.32e-05,4.17e-16,1.47e-16,2.82,159.01,10.16,4.53,-99.0,0.000172,-99.0,5.23e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.71,150.3260899774,2.0982655934,B,Y,,Y,,,,,
1116,b'cid_3786 ',150.3472499888,2.2022454722,0.495,14.78,7.37e-05,3.34e-05,1.16e-15,5.24e-16,2.21,169.04,11.97,4.87,13.55,4.44e-05,2.13e-05,2.81e-16,1.35e-16,2.09,168.69,7.12,3.88,-99.0,0.00022799999,-99.0,6.9299996e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.46,-0.74,-0.21,150.3472499888,2.2022454722,B,,Y,,,,,Y,
1118,b'cid_3789 ',150.3523299872,2.0982523064,0.983,9.9,0.000101,3.59e-05,1.5900001e-15,5.64e-16,2.81,168.45,16.52,5.63,-99.0,3.55e-05,-99.0,2.25e-16,-99.0,0.0,-99.0,-99.0,-99.0,13.31,0.00011,3.44e-05,3.34e-15,1.0499999e-15,3.19,168.02,18.5,5.93,-99.0,0.92,-99.0,150.3523299872,2.0982523064,B,,Y,,,,,Y,Y
1129,b'cid_3808 ',150.4510599887,2.280134415,1.397,11.69,0.000131,4.72e-05,2.06e-15,7.41e-16,2.77,151.54,19.95,6.14,-99.0,0.000117999996,-99.0,7.48e-16,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.000463,-99.0,1.4099999e-14,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.77,-99.0,150.4510599887,2.280134415,B,,Y,,,,,Y,Y
1131,b'cid_3811 ',149.96111,2.38763,0.428,35.07,0.000298,4.9000002e-05,4.6799998e-15,7.69e-16,6.08,209.58,64.26,10.65,69.93,0.00026099998,3.82e-05,1.65e-15,2.42e-16,6.83,206.64,55.21,9.91,7.02,0.00011,3.67e-05,3.34e-15,1.12e-15,3.0,219.75,24.73,6.78,-0.42,-0.59,-0.22,149.96111000000002,2.38763,B,,Y,,,Y,,,
1142,b'cid_392  ',150.402012321,1.87870333158,0.359,68.17,0.00047800003,6.42e-05,7.8099995e-15,1.0499999e-15,7.44,167.86,79.08,11.77,233.31,0.000539,4.51e-05,3.68e-15,3.08e-16,11.95,161.91,53.92,9.8,21.04,0.00017,3.83e-05,5.18e-15,1.1699999e-15,4.43,163.07,29.12,7.32,-0.33,-0.45,-0.22,150.402012321,1.87870333158,B,,Y,,,Y,,,
1145,b'cid_395  ',150.420758975,1.94532692974,0.353,549.55,0.00136,9.1899994e-05,2.22e-14,1.5e-15,14.77,173.17,203.24,18.64,362.62,0.00075,5.94e-05,5.1100003e-15,4.0500002e-16,12.63,169.37,109.74,13.8,206.36,0.000625,5.61e-05,1.91e-14,1.7100001e-15,11.15,170.42,94.05,12.8,-0.07,-0.14,-0.0,150.420758975,1.94532692974,B,Y,,Y,,,,,
1147,b'cid_397  ',150.42601158,1.88883364834,0.379,81.37,0.00029300002,4.1799998e-05,4.78e-15,6.82e-16,7.02,169.65,48.91,9.35,110.02,0.000301,4e-05,2.05e-15,2.73e-16,7.54,162.23,45.98,9.08,8.02,4.11e-05,1.9500001e-05,1.25e-15,5.95e-16,2.11,163.34,3.47,2.9,-0.84,-0.95,-0.78,150.42601158,1.8888336483400001,B,Y,,,,,Y,,Y
1178,b'cid_425  ',149.690728032,2.26402790903,0.364,192.7,0.00093900005,7.42e-05,1.53e-14,1.21e-15,12.66,157.28,113.73,14.04,101.57,0.00044499998,5.27e-05,3e-15,3.56e-16,8.45,145.23,55.8,9.96,94.22,0.000404,4.7600002e-05,1.23e-14,1.45e-15,8.48,156.44,58.98,10.23,-0.0,-0.11,0.11,149.690728032,2.26402790903,B,Y,,,,,,,
1184,b'cid_430  ',149.711720755,2.36526565581,0.765,87.66,0.000397,5.14e-05,6.4499996e-15,8.3599997e-16,7.71,182.52,65.95,10.79,47.87,0.00016499999,2.8e-05,1.12e-15,1.89e-16,5.88,174.9,24.52,6.75,44.17,0.000272,4.58e-05,8.2899995e-15,1.4e-15,5.93,188.58,40.86,8.58,0.28,0.15,0.42,149.711720755,2.3652656558099996,B,Y,,,,,,,
1185,b'cid_431  ',149.71426655,2.35547821862,0.774,51.25,0.000248,4.1e-05,4.0500004e-15,6.7e-16,6.05,160.96,38.52,8.35,64.57,0.00021199998,3.58e-05,1.45e-15,2.45e-16,5.92,157.24,29.82,7.4,-99.9,0.000112,-99.9,3.4200001e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.71,-0.89,-0.56,149.71426655,2.35547821862,B,,Y,,,,,,
1195,b'cid_440  ',149.761494516,2.31857092708,0.1,26012.64,0.036,0.000524,5.9600003e-13,8.67e-15,68.69,136.01,4453.2,85.89,19393.57,0.0242,0.00044,1.69e-13,3.07e-15,54.86,130.78,2865.13,68.96,7829.22,0.0121,0.0003,3.69e-13,9.16e-15,40.33,142.1,1602.48,51.66,-0.28,-0.3,-0.27,149.761494516,2.31857092708,B,Y,,,,,,,
1199,b'cid_444  ',149.9779600026,2.2853552717,0.153,1085.17,0.00208,0.00010700001,3.27e-14,1.68e-15,19.51,185.11,376.45,25.23,1107.07,0.00189,9.97e-05,1.20000005e-14,6.3200003e-16,18.97,183.33,335.7,23.84,14.75,8.32e-05,3.55e-05,2.53e-15,1.08e-15,2.34,190.26,15.61,5.49,-0.91,-0.96,-0.87,149.9779600026,2.2853552717,B,Y,,Y,,,,,
1215,b'cid_46   ',150.195809986,2.1193414056,0.408,187.64,0.000529,5.8200003e-05,8.3100005e-15,9.14e-16,9.09,153.67,86.1,12.27,120.3,0.00025399998,3.95e-05,1.61e-15,2.5e-16,6.42,152.81,40.76,8.57,67.05,0.00026600002,4.2800002e-05,8.09e-15,1.2999999e-15,6.24,152.45,44.32,8.92,-0.01,-0.2,0.17,150.195809986,2.1193414056,B,,Y,,,,,Y,
1218,b'cid_462  ',150.0927899814,2.1721091162,1.064,63.17,0.000276,4.5300003e-05,4.33e-15,7.1100004e-16,6.1,152.58,43.93,8.88,54.98,0.00017,3.35e-05,1.08e-15,2.1199999e-16,5.07,152.13,26.78,7.04,13.33,9.5699994e-05,3.07e-05,2.9100001e-15,9.33e-16,3.11,151.34,15.6,5.49,-0.35,-0.63,-0.09,150.0927899814,2.1721091162,B,,Y,,,Y,,,
1236,b'cid_48   ',150.2018600008,2.1264013773,0.322,386.35,0.000841,6.94e-05,1.32000005e-14,1.09e-15,12.09,168.7,140.16,15.54,488.09,0.000785,6.61e-05,4.98e-15,4.1900001e-16,11.89,169.09,129.34,14.94,20.23,8.12e-05,2.56e-05,2.47e-15,7.7800003e-16,3.17,168.66,13.95,5.22,-0.82,-0.91,-0.71,150.2018600008,2.1264013772999997,B,Y,,Y,,,,,
1247,b'cid_49   ',150.2063199877,2.1206884058,0.618,73.92,0.00021700001,4.11e-05,3.41e-15,6.4499997e-16,5.29,174.57,35.57,8.04,114.92,0.000226,3.74e-05,1.43e-15,2.3699998e-16,6.03,174.46,36.55,8.14,-99.0,9.88e-05,-99.0,3e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.97,150.2063199877,2.1206884058,B,Y,,Y,,,,,
1252,b'cid_494  ',150.487189232,2.0163687765,0.24,440.81,0.00135,9.25e-05,2.2e-14,1.51e-15,14.59,164.73,189.13,17.99,368.16,0.000967,8.51e-05,6.58e-15,5.79e-16,11.35,160.0,120.45,14.44,123.89,0.000452,4.51e-05,1.38e-14,1.38e-15,10.02,162.28,66.91,10.86,-0.27,-0.34,-0.2,150.48718923200002,2.0163687765000002,IZY,Y,,,,,,,
1253,b'cid_495  ',150.506278517,2.05811629752,0.182,210.39,0.00073200004,7e-05,1.1900001e-14,1.1399999e-15,10.46,168.64,95.04,12.87,165.79,0.00042800003,3.92e-05,2.9100001e-15,2.67e-16,10.9,166.05,59.99,10.31,65.45,0.000218,3.79e-05,6.65e-15,1.16e-15,5.75,171.79,36.04,8.09,-0.26,-0.37,-0.15,150.506278517,2.0581162975200002,B,Y,,Y,,,,,
1261,b'cid_502  ',149.9575199969,2.3957881691,0.348,141.64,0.00055,6.12e-05,8.63e-15,9.61e-16,8.98,195.69,106.75,13.61,54.96,0.000394,4.7100002e-05,2.5e-15,2.99e-16,8.37,189.04,75.0,11.48,15.48,0.000143,3.98e-05,4.35e-15,1.21e-15,3.56,199.34,28.49,7.24,-0.48,-0.63,-0.31,149.9575199969,2.3957881691,B,Y,,,,,,,
1262,b'cid_503  ',149.8264399734,2.3968317976,0.279,143.02,0.00064499996,7.6100005e-05,1.01e-14,1.1900001e-15,8.44,159.46,81.87,11.97,56.7,0.00025399998,4.6999998e-05,1.61e-15,2.98e-16,5.43,151.35,31.73,7.62,80.07,0.000395,5.92e-05,1.20000005e-14,1.7999999e-15,6.71,164.5,51.82,9.61,0.18,0.0,0.35,149.8264399734,2.3968317976,B,Y,,,,,,,
1265,b'cid_506  ',149.8503199659,2.3985336071,0.191,626.72,0.00147,9.4300005e-05,2.31e-14,1.48e-15,15.67,165.3,237.45,20.11,510.36,0.000941,7.43e-05,5.9699996e-15,4.7100003e-16,12.67,163.58,149.72,16.05,156.67,0.000458,5.52e-05,1.38999996e-14,1.68e-15,8.28,164.7,75.77,11.53,-0.34,-0.44,-0.23,149.8503199659,2.3985336071,B,Y,,,,,,,
1282,b'cid_521  ',149.761791113,2.43477730781,0.559,120.84,0.000475,4.88e-05,7.8e-15,8.0200007e-16,9.74,150.53,66.94,10.87,117.08,0.000348,3.91e-05,2.4e-15,2.69e-16,8.9,143.58,44.44,8.93,20.88,0.00015,3.63e-05,4.58e-15,1.11e-15,4.14,144.28,20.3,6.19,-99.0,-99.0,-0.97,149.761791113,2.4347773078099997,B,,Y,,,Y,,,
1288,b'cid_527  ',150.0404999962,2.3970890325,0.1,828.59,0.00162,9.63e-05,2.5399999e-14,1.51e-15,16.77,183.55,290.4,22.2,1064.11,0.00161,9.270001e-05,1.01999995e-14,5.88e-16,17.37,181.39,283.63,21.95,-99.0,0.000155,-99.0,4.71e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.97,150.0404999962,2.3970890325,B,Y,,Y,,,,,
1299,b'cid_537  ',150.423308735,2.13303100826,0.1,1537.97,0.00308,0.000139,5.11e-14,2.3099999e-15,22.13,180.96,434.51,27.07,1871.06,0.00316,0.000147,2.22e-14,1.03e-15,21.55,169.67,394.99,25.83,43.63,0.00020899999,4.0900002e-05,6.38e-15,1.25e-15,5.11,189.32,34.69,7.94,-0.95,-0.98,-0.93,150.423308735,2.1330310082599997,B,Y,,Y,,,,,
1309,b'cid_546  ',150.467439692,2.19945717215,0.1,23023.6,0.026099999,0.000409,4.2800003e-13,6.71e-15,63.8,159.81,3894.84,80.35,24570.75,0.0238,0.00039,1.64e-13,2.68e-15,60.97,156.31,3453.09,75.67,1549.92,0.00259,0.000119000004,7.9e-14,3.63e-15,21.83,162.51,402.02,26.06,-0.79,-0.8,-0.78,150.467439692,2.1994571721500003,B,Y,,Y,,,,,
1326,b'cid_561  ',149.8994199989,2.5116091292,0.232,826.99,0.0019500001,0.00010800001,3.06e-14,1.7e-15,18.01,166.07,309.18,22.9,590.69,0.0011100001,8.13e-05,7.04e-15,5.15e-16,13.7,165.15,174.03,17.27,281.01,0.00084799994,7.23e-05,2.5799998e-14,2.2e-15,11.74,165.56,138.51,15.45,-0.13,-0.22,-0.03,149.8994199989,2.5116091292,B,,Y,Y,,Y,,,Y
1337,b'cid_571  ',149.796393114,2.56433686864,1.161,36.56,0.000241,4.55e-05,3.94e-15,7.44e-16,5.29,153.38,37.89,8.28,-99.9,0.000134,-99.9,9.16e-16,-99.9,0.0,-99.0,-99.0,-99.0,27.99,0.00018999999,4.21e-05,5.79e-15,1.28e-15,4.52,147.58,25.14,6.83,0.37,0.22,0.55,149.79639311399998,2.5643368686400003,B,,Y,,,,,Y,Y
1344,b'cid_578  ',149.815164294,2.54026482987,0.857,16.74,0.00012699999,3.37e-05,2.08e-15,5.53e-16,3.77,165.63,14.71,5.34,30.66,0.000113999995,2.8900002e-05,7.8400004e-16,1.99e-16,3.96,157.68,15.21,5.42,-99.9,5.92e-05,-99.9,1.81e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.92,149.815164294,2.5402648298700004,B,Y,,Y,,,,,
1358,b'cid_590  ',150.4298799716,2.2911999318,0.11,1552.0,0.00284,0.000129,4.46e-14,2.03e-15,22.01,169.57,453.3,27.65,1967.87,0.00279,0.00012699999,1.77e-14,8.05e-16,21.9,168.79,438.22,27.19,11.33,7.46e-05,3.03e-05,2.27e-15,9.21e-16,2.46,170.17,12.25,4.92,-0.95,-0.98,-0.91,150.4298799716,2.2911999318,B,Y,,Y,,,,,
1380,b'cid_61   ',150.3578499946,2.024925012,0.19,75.03,0.000351,5.91e-05,5.51e-15,9.28e-16,5.94,155.75,54.66,9.86,85.15,0.000265,4.46e-05,1.68e-15,2.8299998e-16,5.97,153.22,40.61,8.56,-99.0,0.00030699998,-99.0,9.33e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.5,-0.68,-0.28,150.3578499946,2.0249250119999997,B,Y,,,Y,,,,
1399,b'cid_627  ',150.32731773,2.46111877331,0.117,1985.37,0.0038599998,0.000153,6.31e-14,2.5e-15,25.25,146.2,517.53,29.51,1531.19,0.00259,0.000138,1.77e-14,9.43e-16,18.77,136.28,323.33,23.41,578.39,0.00146,0.000101,4.4499997e-14,3.0799998e-15,14.51,140.24,195.92,18.3,-0.25,-0.29,-0.21,150.32731773,2.4611187733099995,B,Y,,,,,,,Y
1410,b'cid_637  ',150.453855538,2.44160582482,0.41,66.78,0.000271,3.85e-05,4.44e-15,6.31e-16,7.04,170.38,40.62,8.56,67.01,0.000187,3.24e-05,1.28e-15,2.22e-16,5.76,165.04,28.57,7.25,11.19,7.8000005e-05,2.72e-05,2.3800002e-15,8.3e-16,2.87,166.73,11.97,4.87,-0.4,-0.58,-0.22,150.453855538,2.44160582482,B,Y,,,,,,,
1428,b'cid_654  ',150.1304199662,2.4392587985,0.815,26.0,0.00021700001,4.3000004e-05,3.41e-15,6.75e-16,5.04,155.98,35.06,7.98,-99.0,0.000174,-99.0,1.1e-15,-99.0,0.0,-99.0,-99.0,-99.0,23.14,0.00017,3.79e-05,5.1700003e-15,1.15e-15,4.49,157.34,28.46,7.24,0.39,0.18,0.63,150.1304199662,2.4392587985,B,,Y,,,,,Y,
1429,b'cid_655  ',150.1255899929,2.3124918914,1.139,20.15,0.000132,3.16e-05,2.0699999e-15,4.96e-16,4.18,168.69,21.78,6.39,32.37,0.000119000004,2.73e-05,7.54e-16,1.7300001e-16,4.36,169.59,19.38,6.06,-99.0,0.000327,-99.0,9.939999e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.31,-0.53,-0.06,150.12558999290002,2.3124918913999997,B,,Y,,,,,Y,Y
1431,b'cid_657  ',150.3159799771,2.3999616824,0.625,32.68,0.000226,4.55e-05,3.55e-15,7.1399996e-16,4.96,169.01,35.92,8.08,23.82,0.00013,3.1400003e-05,8.2399995e-16,1.99e-16,4.15,167.39,20.39,6.2,11.28,0.00010700001,3.46e-05,3.25e-15,1.0499999e-15,3.09,167.97,17.57,5.79,-0.18,-0.44,0.12,150.3159799771,2.3999616824000003,B,,Y,,,,,,
1464,b'cid_694  ',149.767640297,2.32615535629,0.331,17.9,0.00013500001,4.17e-05,2.27e-15,7.02e-16,3.24,101.47,15.2,5.42,16.9,7.1e-05,2.8800001e-05,5.11e-16,2.0699999e-16,2.46,100.2,6.15,3.65,-99.9,0.000168,-99.9,5.14e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.24,149.767640297,2.32615535629,B,,Y,,,,,Y,
1471,b'cid_700  ',149.8515099905,2.4268577043,0.276,48.07,0.000208,4.27e-05,3.27e-15,6.7e-16,4.88,196.51,32.81,7.74,17.94,7.56e-05,2.5e-05,4.79e-16,1.5800001e-16,3.03,185.45,11.74,4.83,30.61,0.000144,3.63e-05,4.38e-15,1.1e-15,3.97,199.32,23.31,6.6,0.17,-0.09,0.46,149.8515099905,2.4268577043,B,,Y,,,,,,
1472,b'cid_701  ',149.9059499757,2.3964745788,0.591,65.48,0.000245,4.4899996e-05,3.85e-15,7.0500003e-16,5.47,160.5,39.03,8.4,60.31,0.000161,3.33e-05,1.0199999e-15,2.1099998e-16,4.82,162.76,25.3,6.85,8.52,7.86e-05,3.0799998e-05,2.39e-15,9.36e-16,2.55,162.05,12.78,5.02,-0.4,-0.69,-0.12,149.9059499757,2.3964745788,B,Y,,,,,,,
1475,b'cid_705  ',149.781968044,2.47125130325,0.473,26.08,0.000157,3.68e-05,2.5799999e-15,6.04e-16,4.27,150.68,21.84,6.4,-99.9,0.00013500001,-99.9,9.28e-16,-99.9,0.0,-99.0,-99.0,-99.0,14.6,0.000104,2.95e-05,3.17e-15,9e-16,3.52,148.52,12.38,4.94,-0.04,-0.3,0.33,149.781968044,2.47125130325,B,,Y,,,,,Y,Y
1477,b'cid_707  ',150.0364099643,2.3210737903,0.462,49.97,0.000276,4.63e-05,4.33e-15,7.27e-16,5.95,174.17,44.78,8.97,26.32,0.000146,3.16e-05,9.26e-16,2e-16,4.62,173.45,23.38,6.61,21.23,0.000113,3.33e-05,3.44e-15,1.01e-15,3.41,173.51,18.91,5.99,-0.2,-0.45,0.09,150.0364099643,2.3210737903,B,,Y,,,,,,
