,ra,dec
336,150.0449899955,2.2178378117
338,149.9254999689,2.5703599172
339,149.838409999,2.4518957188
340,150.0556399707,2.4493160249
342,149.9158799712,2.521390398
344,149.930148634,2.59005860435
345,149.947877407,2.59387234414
346,150.2797599975,2.4222213944
349,150.0769599798,2.5107801192
350,149.6805299959,2.0225865876
351,149.9600099752,1.975049091
353,149.7065199894,2.1853634748
355,149.9263700005,2.1064969862
364,149.748828696,2.27426920265
366,150.0429699631,2.3149706811
368,150.052214786,2.59461364059
369,149.922659988,2.4280534321
370,149.9265300048,2.5605609231
371,149.9618999968,2.5407484204
374,150.053787714,2.58965008484
375,150.1005099969,2.4576299286
376,149.86374574,1.77640390157
377,150.066695518,2.64272254653
378,149.8420799569,2.0015663978
379,149.9899199732,2.1049929073
380,150.0904399747,1.9297962105
381,149.7891400016,2.2096279317
382,150.068416843,2.62368789833
383,149.9083600023,2.5722786757
384,150.0092499743,2.3901400788
389,150.084667009,2.58230753272
393,150.09492383,2.63394448834
395,150.1112299985,2.3295310052
396,150.1503199611,2.3643142933
397,149.8175600127,1.9248376947
398,149.8374800098,1.9718434897
399,149.8239499843,1.9998964934
400,150.102846728,2.63028756811
402,149.9240900081,1.8893033008
403,149.9356999622,1.9330383989
404,150.036508808,1.82153795862
405,150.080240009,1.900010211
407,150.10361645,2.55083340531
408,150.0800399694,1.8940329885
415,149.7534099957,2.1257381271
416,150.103734664,2.66588963466
417,149.8045999734,2.1188663938
418,149.7169199818,2.1488790717
419,149.7366799717,2.1466793925
420,149.9160200109,2.1133357841
421,149.9431399925,2.0961901903
422,149.910789956,2.0885775016
423,149.7735800052,2.1416328156
424,150.0085000127,2.0257966891
425,150.126807414,2.62665831184
426,150.0131699821,2.029825908
427,150.05428,1.99973
429,150.0949299809,1.978596296
430,150.0968800183,2.0214980016
434,150.127630496,2.57127677243
436,149.777150019,2.2631564198
437,149.904179984,2.2603931205
438,150.1326799722,2.1675703988
439,150.0861699559,2.1388651852
440,150.0448099873,2.1448928856
441,150.0495799675,2.2403356888
443,150.16273221,2.62208358662
444,149.8702299694,2.335266802
445,149.974449978,2.3150549065
446,150.0200699746,2.3826527711
447,149.9304300143,2.5224352015
449,149.950000018,2.5562687134
451,149.9906099864,2.4643413899
452,150.1188899801,2.4571700166
454,150.179887636,2.62142126877
455,149.8681199855,2.2186831662
456,149.8947199955,2.2081639878
457,149.8271800036,2.3506903966
458,149.8496099892,2.3431467719
459,150.0058449838,2.295229967
460,149.9315500041,2.3518566953
461,149.7763699945,1.9402493827
462,149.9533299892,2.3855808133
463,149.9022099572,2.3271110039
464,149.898730003,2.4666809936
465,149.8711100023,2.4689361811
467,149.668839986,1.9967942892
468,150.532402166,2.37632042713
472,149.675129958,1.9828227952
477,150.620131142,2.40387996103
478,149.6788499622,2.023838282
484,150.647468142,2.41835933197
486,149.7104699645,1.9764488828
488,150.430016457,2.54790267315
491,149.774059033,2.67408999869
492,149.787092666,2.70222992368
493,149.715609965,2.0166282886
494,149.814342101,2.73480021677
495,149.816253689,2.74287271484
496,149.826414789,2.71812458062
497,149.832592381,2.71085885594
498,149.837090304,2.65086920619
499,149.838684555,2.67512637177
500,149.838814259,2.73688388116
501,149.7337899617,2.0764662939
502,149.848555669,2.7194680876
503,149.852431476,2.71949201349
504,149.85562982,2.7675440847
505,149.856916793,2.63801574319
506,149.864049574,2.64010718055
507,149.7359199708,2.0276308038
508,149.875990945,2.69024152257
509,149.883794369,2.66638152849
510,149.890643001,2.68231764164
511,149.899641679,2.69369706347
512,149.908286048,2.6638045513
513,149.7376200158,2.0653025948
514,149.90852428,2.70633678048
515,149.925715238,2.70133763386
519,149.652941438,2.34699226069
520,149.7383299819,1.9788741866
521,149.621703007,2.26202642033
522,149.647554458,2.25751967431
523,149.662493176,2.26966927017
524,149.727099163,2.23453854368
526,149.7430800091,1.9516344132
527,149.609905016,2.13868996471
528,149.618275644,2.13281087962
532,149.7445100032,2.0276403031
539,149.7555099777,2.0261930897
543,149.669243521,2.07403714919
544,149.820244273,1.76162964076
545,149.687484497,1.81260648526
547,149.517070097,1.86336915839
548,149.518356875,1.87120704183
549,149.518639985,1.9075219012
552,149.543906161,1.86740112702
561,149.602791302,1.96224878941
563,149.7843099611,1.9589539109
564,149.8944100212,1.9475404029
587,150.60176696,2.28846572882
608,149.60513347,2.05215671587
610,150.47913065,2.40451073113
611,149.607309808,2.01745737739
612,149.620378361,2.0394224145
613,149.628113996,2.04018267669
615,149.639396186,2.00315856568
621,149.644830597,2.05294838016
623,149.651719159,2.05842181168
624,149.656361013,2.07628923252
625,149.656478293,2.05112165908
626,149.9769499674,2.4865266803
627,149.997910235,2.57814865447
628,149.66361038,2.08517152981
629,150.025143239,2.6335671482
630,149.674095141,1.88839949356
631,150.042241767,2.6292426614
632,150.049037771,2.58664597515
633,149.67499357,1.91198480676
634,149.683909644,1.93311876757
635,149.855706478,2.58227253416
636,149.691679057,1.81812532637
637,149.8840699879,2.6101200809
638,149.703028658,1.83332826484
639,149.941114854,2.66372658726
640,149.951056614,2.69432810034
641,149.952277624,2.65112269026
642,149.955165651,2.65782325705
643,149.709555561,1.88329971505
644,149.716015808,1.86327345459
645,150.4244899731,2.2917522807
647,149.733143294,1.90027766589
651,149.9061300005,1.9172864075
654,150.487039983,2.283044295
657,149.9225799581,1.9793326925
659,149.8141699717,2.0164356098
661,149.8266199878,1.9413394146
663,149.8329700062,2.0210828997
667,149.8370700156,2.0089121051
671,149.84765999,1.9205642033
673,149.8519300019,1.9985272873
674,149.86188654,1.89475292424
675,149.9971699724,2.4161552933
677,149.8655599694,2.0031612117
678,149.8686099678,1.9931661049
679,150.0558799628,2.3576759856
680,150.0686899541,2.4124991867
682,149.8850500187,2.0088674893
683,150.0855499562,2.3641697897
684,150.0859400191,2.3990610095
685,150.0894400005,2.2999710774
686,150.0917299723,2.3219290292
687,149.8908699679,1.9438033095
688,149.848844596,1.88993808948
689,149.8744400085,2.0311495968
690,149.8765199723,2.5187521313
691,149.791753183,1.87280389851
692,149.800563761,1.87039878748
693,149.9665999895,2.4324545733
694,149.807934545,1.82622383839
695,149.9756799594,2.4615447967
696,149.81276193,1.82406203219
697,150.0239600164,2.3386678852
699,149.816844822,1.8467384635
700,149.82051953,1.81170816639
701,149.742531983,2.53531821752
702,149.775692816,2.57001803664
703,149.821897635,1.83867378132
704,149.783745738,2.45213307109
705,149.790395646,2.4923362774
706,149.800138132,2.47034296029
707,149.822537173,1.82827125791
708,149.823527602,2.53987088136
709,149.828692484,1.78039054889
710,149.8388599998,2.4987849947
711,149.8501599557,2.4522442988
712,149.834739376,1.81770468286
713,149.8769599693,2.4441997756
714,149.8804400004,2.4474485101
715,149.8863299828,2.44621681
716,149.85294691,1.80340679044
718,149.9347299676,1.9456353089
719,149.9728599723,1.9416841937
720,149.6464080810547,1.9727553877
723,149.9801499959,1.9250551027
725,150.425795746,2.16006029466
730,150.45337872,2.09925490336
732,149.9886399765,1.908584785
739,149.992799983,1.8579175113
740,150.506988411,2.06535038692
743,149.996970018,1.967914309
744,150.0070399606,1.9180055093
745,150.1363900059,2.2253103125
746,150.0273000175,1.9244842951
750,149.9576899979,2.0031663834
